& 100MVA Base                                                             
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
& TRANSMISSION LINE DATA
& BRANCH # FROM NODE   TO NODE CCT    R         X         Y/2
T  9022023       022       023  1  0.0231044 0.1940770 0.0233050
T  9023024       023       024  1  0.0109746 0.0922600 0.0110600
T  9023025       023       025  1  0.0179584 0.1507040 0.0180800
T  9023032       023       032  1  0.0410628 0.3462510 0.0417850
T  9024070       024       070  1  0.0580760 0.4918080 0.0597900
T  9024072       024       072  1  0.0296156 0.2487920 0.0299150
T  9025027       025       027  1  0.0426381 0.3595880 0.0434150
T  9026030       026       030  1  0.0095610 0.1101350 0.5945650
T  9027028       027       028  1  0.0107014 0.0897712 0.0107600
T  9027032       027       032  1  0.0261500 0.2198070 0.0264100
T  9027115       027       115  1  0.0302457 0.2545160 0.0306100
T  9028029       028       029  1  0.0118008 0.0990008 0.0118650
T  9029031       029       031  1  0.0041446 0.0347586 0.0041650
T  9030038       030       038  1  0.0059043 0.0685994 0.3748950
T  9031032       031       032  1  0.0123241 0.1033920 0.0124000
T  9032113       032       113  1  0.0253271 0.2127870 0.0255600
T  9032114       032       114  1  0.0031506 0.0264650 0.0031700
T  9033037       033       037  1  0.0177515 0.1489970 0.0178750
T  9034036       034       036  1  0.0033554 0.0281411 0.0033700
T  9034037       034       037  1  0.0015753 0.0130225 0.0015650
T  9034043       034       043  1  0.0094518 0.0790800 0.0094800
T  9035036       035       036  1  0.0012786 0.0107220 0.0012850
T  9035037       035       037  1  0.0062209 0.0521744 0.0062500
T  9037039       037       039  1  0.0132619 0.1112690 0.0133400
T  9037040       037       040  1  0.0456837 0.3854230 0.0465900
T  9038065       038       065  1  0.0103475 0.1227680 0.6915350
T  9039040       039       040  1  0.0431107 0.3634220 0.0438800
T  9040041       040       041  1  0.0270426 0.2273160 0.0273150
T  9040042       040       042  1  0.0228487 0.1918950 0.0230400
T  9041042       041       042  1  0.0168783 0.1416560 0.0169900
T  9042049       042       049  2  0.0400756 0.3376500 0.0407300
T  9043044       043       044  1  0.0305666 0.2570240 0.0309150
T  9044045       044       045  1  0.0112749 0.0945846 0.0113350
T  9045046       045       046  1  0.0169534 0.1422900 0.0170650
T  9045049       045       049  1  0.0232210 0.1950310 0.0234200
T  9046047       046       047  1  0.0158822 0.1332820 0.0159850
T  9046048       046       048  1  0.0235927 0.1981670 0.0237950
T  9047049       047       049  1  0.0078235 0.0656180 0.0078650
T  9047069       047       069  1  0.0345500 0.2907400 0.0350050
T  9048049       048       049  1  0.0063217 0.0530214 0.0063550
T  9049050       049       050  1  0.0112371 0.0941504 0.0112850
T  9049051       049       051  1  0.0171261 0.1437420 0.0172400
T  9049054       049       054  2  0.0440034 0.3710350 0.0448200
T  9049066       049       066  2  0.0114986 0.0964624 0.0115650
T  9049069       049       069  1  0.0401985 0.3386950 0.0408550
T  9050057       050       057  1  0.0167523 0.1406000 0.0168650
T  9051052       051       052  1  0.0073598 0.0617281 0.0073950
T  9051058       051       058  1  0.0089997 0.0754868 0.0090450
T  9052053       052       053  1  0.0204274 0.1715110 0.0205850
T  9053054       053       054  1  0.0152562 0.1280250 0.0153500
T  9054055       054       055  1  0.0105545 0.0885843 0.0106150
T  9054056       054       056  1  0.0187461 0.1575300 0.0188900
T  9054059       054       059  1  0.0307708 0.2588220 0.0311300
T  9055056       055       056  1  0.0088217 0.0741441 0.0088900
T  9055059       055       059  1  0.0181250 0.1521390 0.0182500
T  9056057       056       057  1  0.0038330 0.0319790 0.0038300
T  9056058       056       058  1  0.0038332 0.0319786 0.0038300
T  9056059       056       059  2  0.0312560 0.2628540 0.0316200
T  9059060       059       060  1  0.0181249 0.1521390 0.0182500
T  9059061       059       061  1  0.0187466 0.1573660 0.0188800
T  9060061       060       061  1  0.0044634 0.0372821 0.0044700
T  9060062       060       062  1  0.0074564 0.0624344 0.0074800
T  9061062       061       062  1  0.0116047 0.0974585 0.0116800
T  9062066       062       066  1  0.0271839 0.2284480 0.0274550
T  9062067       062       067  1  0.0146335 0.1227920 0.0147250
T  9063064       063       064  1  0.0022196 0.0255944 0.1383300
T  9064065       064       065  1  0.0033415 0.0385900 0.2090350
T  9065068       065       068  1  0.0026297 0.0303718 0.1642600
T  9066067       066       067  1  0.0126980 0.1065360 0.0127700
T  9068081       068       081  1  0.0034951 0.0403949 0.2189050
T  9068116       068       116  1  0.0007898 0.0090905 0.0490500
T  9069070       069       070  1  0.0402226 0.3386890 0.0408550
T  9069075       069       075  1  0.0310334 0.2610800 0.0314050
T  9069077       069       077  1  0.0246272 0.2069940 0.0248600
T  9070071       070       071  1  0.0137576 0.1155740 0.0138550
T  9070074       070       074  1  0.0165422 0.1388300 0.0166500
T  9070075       070       075  1  0.0189561 0.1590530 0.0190850
T  9071072       071       072  1  0.0225268 0.1889830 0.0226450
T  9071073       071       073  1  0.0109221 0.0915774 0.0109750
T  9074075       074       075  1  0.0050819 0.0426202 0.0051050
T  9075077       075       077  1  0.0249432 0.2095480 0.0251700
T  9075118       075       118  1  0.0071939 0.0605440 0.0072550
T  9076077       076       077  1  0.0184985 0.1552810 0.0186300
T  9076118       076       118  1  0.0083491 0.0699433 0.0083800
T  9077078       077       078  1  0.0181685 0.1525940 0.0183050
T  9077080       077       080  2  0.0259924 0.2185470 0.0262600
T  9077082       077       082  1  0.0217916 0.1829970 0.0219650
T  9078079       078       079  1  0.0036074 0.0302405 0.0036250
T  9079080       079       080  1  0.0088133 0.0739256 0.0088600
T  9080096       080       096  1  0.0227232 0.1908410 0.0229150
T  9080097       080       097  1  0.0116871 0.0980487 0.0117550
T  9080098       080       098  1  0.0135103 0.1133570 0.0135900
T  9080099       080       099  1  0.0256988 0.2159200 0.0259400
T  9082083       082       083  1  0.0087167 0.0733039 0.0087850
T  9082096       082       096  1  0.0107120 0.0896870 0.0107450
T  9083084       083       084  1  0.0075089 0.0628019 0.0075250
T  9083085       083       085  1  0.0184987 0.1552810 0.0186300
T  9084085       084       085  1  0.0080251 0.0673115 0.0080650
T  9085086       085       086  1  0.0055136 0.0463663 0.0055550
T  9085088       085       088  1  0.0164881 0.1385210 0.0166150
T  9085089       085       089  1  0.0216058 0.1814280 0.0217800
T  9086087       086       087  1  0.0258738 0.2173950 0.0261200
T  9088089       088       089  1  0.0029406 0.0245222 0.0048450
T  9089090       089       090  2  0.0047784 0.0400126 0.0047900
T  9089092       089       092  2  0.0063219 0.0530215 0.0063550
T  9090091       090       091  1  0.0040958 0.0342890 0.0041100
T  9091092       091       092  1  0.0067740 0.0569730 0.0068300
T  9092093       092       093  1  0.0106763 0.0895594 0.0107350
T  9092094       092       094  1  0.0197409 0.1657330 0.0198850
T  9092100       092       100  1  0.0366593 0.3086290 0.0371850
T  9092102       092       102  1  0.0190086 0.1596300 0.0191500
T  9093094       093       094  1  0.0091634 0.0768625 0.0092100
T  9094095       094       095  1  0.0054353 0.0455844 0.0054600
T  9094096       094       096  1  0.0108748 0.0912256 0.0109350
T  9094100       094       100  1  0.0016803 0.0142827 0.0017150
T  9095096       095       096  1  0.0068489 0.0574412 0.0068850
T  9096097       096       097  1  0.0110765 0.0929185 0.0111350
T  9098100       098       100  1  0.0223509 0.1877040 0.0225350
T  9099100       099       100  1  0.0111321 0.0935203 0.0112050
T  9100101       100       101  1  0.0067738 0.0569733 0.0068300
T  9100103       100       103  1  0.0109746 0.0919450 0.0110200
T  9100104       100       104  1  0.0254521 0.2138410 0.0256900
T  9100106       100       106  1  0.0028355 0.0238920 0.0028600
T  9101102       101       102  1  0.0140107 0.1175600 0.0140950
T  9103104       103       104  1  0.0197910 0.1661550 0.0199400
T  9103105       103       105  1  0.0203019 0.1704560 0.0204550
T  9103110       103       110  1  0.0226386 0.1901290 0.0228250
T  9104105       104       105  1  0.0099769 0.0836484 0.0100250
T  9105106       105       106  1  0.0068489 0.0574412 0.0068850
T  9105107       105       107  1  0.0104495 0.0875866 0.0104950
T  9105108       105       108  1  0.0088007 0.0738201 0.0088450
T  9106107       106       107  1  0.0067738 0.0569208 0.0068200
T  9108109       108       109  1  0.0048467 0.0406375 0.0048700
T  9109110       109       110  1  0.0112370 0.0941500 0.0112850
T  9110111       110       111  1  0.0125000 0.1048710 0.0125700
T  9110112       110       112  1  0.0131275 0.1100080 0.0131900
T  9114115       114       115  1  0.0013038 0.0109336 0.0013100
T  7019008       701      9008  4   0.000443   0.00050   0.00000
T  9701905       701       905  4   0.001558   0.09950   0.00000
T  7029026       702      9026  4   0.000443   0.00050   0.00000
T  2702925       702       925  4   0.001558   0.09950   0.00000
T  7039030       703      9030  4   0.000443   0.00050   0.00000
T  1703917       703       917  4   0.001558   0.09950   0.00000
T  7049038       704      9038  4   0.000443   0.00050   0.00000
T  9704937       704       937  4   0.001558   0.09950   0.00000
T  7059063       705      9063  2   0.000443   0.00050   0.00000
T  9705959       705       959  2   0.001558   0.09950   0.00000
T  7069064       706      9064  2   0.000443   0.00050   0.00000
T  9706961       706       961  2   0.001558   0.09950   0.00000
T  7079065       707      9065  2   0.000443   0.00050   0.00000
T  9707966       707       966  2   0.001558   0.09950   0.00000
T  7089068       708      9068  4   0.000443   0.00050   0.00000
T  9708969       708       969  4   0.001558   0.09950   0.00000
T  7099081       709      9081  2   0.000443   0.00050   0.00000
T  9709980       709       980  2   0.001558   0.09950   0.00000
TEND
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
& TRANSFORMER DATA
& BRANCH # FROM NODE   TO NODE BANK    X      TAP RATIO    R
XR 7019005 Z     701      9005  4   0.092500   1.01010  0.004283
X
XR 7029025 Z     702      9025  4   0.092500   1.00000  0.004283
X
XR 7039017 Z     703      9017  4   0.092500   1.04232  0.004283
X
XR 7049037 Z     704      9037  4   0.092500   1.06383  0.004283
X
XR 7059059 Z     705      9059  2   0.092500   1.04167  0.004283
X
XR 7069061 Z     706      9061  2   0.092500   1.01010  0.004283
X
XR 7079066 Z     707      9066  2   0.092500   0.97182  0.004283
X
XR 7089069 Z     708      9069  4   0.092500   1.06383  0.004283
X
XR 7099080 Z     709      9080  2   0.092500   1.06383  0.004283
X
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
& NO IMPEDANCE BRANCH FOR TRANSFORMER BREAKER
& BRANCH # FROM NODE   TO NODE BANK                                      COMMENT
XCB9005005      9005      8005  1                                           59  
XCB9025025      9025      8025  1                                           59  
XCB9017017      9017      8017  1                                           59  
XCB9037037      9037      8037  1                                           59  
XCB9059059      9059      8059  1                                           59  
XCB9061061      9061      8061  1                                           59  
XCB9066066      9066      8066  1                                           59  
XCB9069069      9069      8069  1                                           59  
XCB9080080      9080      8080  1                                           59  
XCB9008008      9008      8008  1                                           59  
XCB9026026      9026      8026  1                                           59  
XCB9030030      9030      8030  1                                           59  
XCB9038038      9038      8038  1                                           59  
XCB9063063      9063      8063  1                                           59  
XCB9064064      9064      8064  1                                           59  
XCB9065065      9065      8065  1                                           59  
XCB9068068      9068      8068  1                                           59  
XCB9081081      9081      8081  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB8005005      8005       005  1                                           78  
XCB8025025      8025       025  1                                           78  
XCB8017017      8017       017  1                                           78  
XCB8037037      8037       037  1                                           78  
XCB8059059      8059       059  1                                           78  
XCB8061061      8061       061  1                                           78  
XCB8066066      8066       066  1                                           78  
XCB8069069      8069       069  1                                           78  
XCB8080080      8080       080  1                                           78  
XCB8008008      8008       008  1                                           78  
XCB8026026      8026       026  1                                           78  
XCB8030030      8030       030  1                                           78  
XCB8038038      8038       038  1                                           78  
XCB8063063      8063       063  1                                           78  
XCB8064064      8064       064  1                                           78  
XCB8065065      8065       065  1                                           78  
XCB8068068      8068       068  1                                           78  
XCB8081081      8081       081  1                                           78  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
& NO IMPEDANCE BRANCH FOR CONDENSOR BREAKER
& BRANCH # FROM NODE   TO NODE BANK                                      COMMENT
XCB1501501       501      6501  1                                           CA  
XCB2501501      6501      7501  1                                           81  
XCB3501501      7501      8501  1                                           78  
XCB4501501      8501      9501  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1504504       504      6504  1                                           CA  
XCB2504504      6504      7504  1                                           81  
XCB3504504      7504      8504  1                                           78  
XCB4504504      8504      9504  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1506506       506      6506  1                                           CA  
XCB2506506      6506      7506  1                                           81  
XCB3506506      7506      8506  1                                           78  
XCB4506506      8506      9506  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1508508       508      6508  1                                           CA  
XCB2508508      6508      7508  1                                           81  
XCB3508508      7508      8508  1                                           78  
XCB4508508      8508      9508  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
& NO IMPEDANCE BRANCH FOR GENERATOR BREAKER
& BRANCH # FROM NODE   TO NODE BANK                                      COMMENT
XCB1510510       510      6510  1                                           CA  
XCB2510510      6510      7510  1                                           81  
XCB3510510      7510      8510  1                                           78  
XCB4510510      8510      9510  1                                           59  
&
XCB1511511       511      6511  1                                           CA  
XCB2511511      6511      7511  1                                           81  
XCB3511511      7511      8511  1                                           78  
XCB4511511      8511      9510  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1512512       512      6512  1                                           CA  
XCB2512512      6512      7512  1                                           81  
XCB3512512      7512      8512  1                                           78  
XCB4512512      8512      9512  1                                           59  
&
XCB1513513       513      6513  1                                           CA  
XCB2513513      6513      7513  1                                           81  
XCB3513513      7513      8513  1                                           78  
XCB4513513      8513      9512  1                                           59  
&
XCB1514514       514      6514  1                                           CA  
XCB2514514      6514      7514  1                                           81  
XCB3514514      7514      8514  1                                           78  
XCB4514514      8514      9512  1                                           59  
&
XCB1516516       516      6516  1                                           CA  
XCB2516516      6516      7516  1                                           81  
XCB3516516      7516      8516  1                                           78  
XCB4516516      8516      9512  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1515515       515      6515  1                                           CA  
XCB2515515      6515      7515  1                                           81  
XCB3515515      7515      8515  1                                           78  
XCB4515515      8515      9515  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1518518       518      6518  1                                           CA  
XCB2518518      6518      7518  1                                           81  
XCB3518518      7518      8518  1                                           78  
XCB4518518      8518      9518  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1519519       519      6519  1                                           CA  
XCB2519519      6519      7519  1                                           81  
XCB3519519      7519      8519  1                                           78  
XCB4519519      8519      9519  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1524524       524      6524  1                                           CA  
XCB2524524      6524      7524  1                                           81  
XCB3524524      7524      8524  1                                           78  
XCB4524524      8524      9524  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1525525       525      6525  1                                           CA  
XCB2525525      6525      7525  1                                           81  
XCB3525525      7525      8525  1                                           78  
XCB4525525      8525      9525  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1526526       526      6526  1                                           CA  
XCB2526526      6526      7526  1                                           81  
XCB3526526      7526      8526  1                                           78  
XCB4526526      8526      9526  1                                           59  
&
XCB1528528       528      6528  1                                           CA  
XCB2528528      6528      7528  1                                           81  
XCB3528528      7528      8528  1                                           78  
XCB4528528      8528      9526  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1527527       527      6527  1                                           CA  
XCB2527527      6527      7527  1                                           81  
XCB3527527      7527      8527  1                                           78  
XCB4527527      8527      9527  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1531531       531      6531  1                                           CA  
XCB2531531      6531      7531  1                                           81  
XCB3531531      7531      8531  1                                           78  
XCB4531531      8531      9531  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1532532       532      6532  1                                           CA  
XCB2532532      6532      7532  1                                           81  
XCB3532532      7532      8532  1                                           78  
XCB4532532      8532      9532  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1534534       534      6534  1                                           CA  
XCB2534534      6534      7534  1                                           81  
XCB3534534      7534      8534  1                                           78  
XCB4534534      8534      9534  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1536536       536      6536  1                                           CA  
XCB2536536      6536      7536  1                                           81  
XCB3536536      7536      8536  1                                           78  
XCB4536536      8536      9536  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1540540       540      6540  1                                           CA  
XCB2540540      6540      7540  1                                           81  
XCB3540540      7540      8540  1                                           78  
XCB4540540      8540      9540  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1542542       542      6542  1                                           CA  
XCB2542542      6542      7542  1                                           81  
XCB3542542      7542      8542  1                                           78  
XCB4542542      8542      9542  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1546546       546      6546  1                                           CA  
XCB2546546      6546      7546  1                                           81  
XCB3546546      7546      8546  1                                           78  
XCB4546546      8546      9546  1                                           59  
&
XCB1547547       547      6547  1                                           CA  
XCB2547547      6547      7547  1                                           81  
XCB3547547      7547      8547  1                                           78  
XCB4547547      8547      9546  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1549549       549      6549  1                                           CA  
XCB2549549      6549      7549  1                                           81  
XCB3549549      7549      8549  1                                           78  
XCB4549549      8549      9549  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1554554       554      6554  1                                           CA  
XCB2554554      6554      7554  1                                           81  
XCB3554554      7554      8554  1                                           78  
XCB4554554      8554      9554  1                                           59  
&
XCB1557557       557      6557  1                                           CA  
XCB2557557      6557      7557  1                                           81  
XCB3557557      7557      8557  1                                           78  
XCB4557557      8557      9554  1                                           59  
&
XCB1558558       558      6558  1                                           CA  
XCB2558558      6558      7558  1                                           81  
XCB3558558      7558      8558  1                                           78  
XCB4558558      8558      9554  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1555555       555      6555  1                                           CA  
XCB2555555      6555      7555  1                                           81  
XCB3555555      7555      8555  1                                           78  
XCB4555555      8555      9555  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1556556       556      6556  1                                           CA  
XCB2556556      6556      7556  1                                           81  
XCB3556556      7556      8556  1                                           78  
XCB4556556      8556      9556  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1559559       559      6559  1                                           CA  
XCB2559559      6559      7559  1                                           81  
XCB3559559      7559      8559  1                                           78  
XCB4559559      8559      9559  1                                           59  
&
XCB1560560       560      6560  1                                           CA  
XCB2560560      6560      7560  1                                           81  
XCB3560560      7560      8560  1                                           78  
XCB4560560      8560      9559  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1561561       561      6561  1                                           CA  
XCB2561561      6561      7561  1                                           81  
XCB3561561      7561      8561  1                                           78  
XCB4561561      8561      9561  1                                           59  
&
XCB1563563       563      6563  1                                           CA  
XCB2563563      6563      7563  1                                           81  
XCB3563563      7563      8563  1                                           78  
XCB4563563      8563      9561  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1562562       562      6562  1                                           CA  
XCB2562562      6562      7562  1                                           81  
XCB3562562      7562      8562  1                                           78  
XCB4562562      8562      9562  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1565565       565      6565  1                                           CA  
XCB2565565      6565      7565  1                                           81  
XCB3565565      7565      8565  1                                           78  
XCB4565565      8565      9565  1                                           59  
&
XCB1567567       567      6567  1                                           CA  
XCB2567567      6567      7567  1                                           81  
XCB3567567      7567      8567  1                                           78  
XCB4567567      8567      9565  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1566566       566      6566  1                                           CA  
XCB2566566      6566      7566  1                                           81  
XCB3566566      7566      8566  1                                           78  
XCB4566566      8566      9566  1                                           59  
&
XCB1568568       568      6568  1                                           CA  
XCB2568568      6568      7568  1                                           81  
XCB3568568      7568      8568  1                                           78  
XCB4568568      8568      9566  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1569569       569      6569  1                                           CA  
XCB2569569      6569      7569  1                                           81  
XCB3569569      7569      8569  1                                           78  
XCB4569569      8569      9569  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1570570       570      6570  1                                           CA  
XCB2570570      6570      7570  1                                           81  
XCB3570570      7570      8570  1                                           78  
XCB4570570      8570      9570  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1572572       572      6572  1                                           CA  
XCB2572572      6572      7572  1                                           81  
XCB3572572      7572      8572  1                                           78  
XCB4572572      8572      9572  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1573573       573      6573  1                                           CA  
XCB2573573      6573      7573  1                                           81  
XCB3573573      7573      8573  1                                           78  
XCB4573573      8573      9573  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1574574       574      6574  1                                           CA  
XCB2574574      6574      7574  1                                           81  
XCB3574574      7574      8574  1                                           78  
XCB4574574      8574      9574  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1576576       576      6576  1                                           CA  
XCB2576576      6576      7576  1                                           81  
XCB3576576      7576      8576  1                                           78  
XCB4576576      8576      9576  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1577577       577      6577  1                                           CA  
XCB2577577      6577      7577  1                                           81  
XCB3577577      7577      8577  1                                           78  
XCB4577577      8577      9577  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1580580       580      6580  1                                           CA  
XCB2580580      6580      7580  1                                           81  
XCB3580580      7580      8580  1                                           78  
XCB4580580      8580      9580  1                                           59  
&
XCB1581581       581      6581  1                                           CA  
XCB2581581      6581      7581  1                                           81  
XCB3581581      7581      8581  1                                           78  
XCB4581581      8581      9580  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1585585       585      6585  1                                           CA  
XCB2585585      6585      7585  1                                           81  
XCB3585585      7585      8585  1                                           78  
XCB4585585      8585      9585  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1587587       587      6587  1                                           CA  
XCB2587587      6587      7587  1                                           81  
XCB3587587      7587      8587  1                                           78  
XCB4587587      8587      9587  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1589589       589      6589  1                                           CA  
XCB2589589      6589      7589  1                                           81  
XCB3589589      7589      8589  1                                           78  
XCB4589589      8589      9589  1                                           59  
&
XCB1593593       593      6593  1                                           CA  
XCB2593593      6593      7593  1                                           81  
XCB3593593      7593      8593  1                                           78  
XCB4593593      8593      9589  1                                           59  
&
XCB1594594       594      6594  1                                           CA  
XCB2594594      6594      7594  1                                           81  
XCB3594594      7594      8594  1                                           78  
XCB4594594      8594      9589  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1590590       590      6590  1                                           CA  
XCB2590590      6590      7590  1                                           81  
XCB3590590      7590      8590  1                                           78  
XCB4590590      8590      9590  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1591591       591      6591  1                                           CA  
XCB2591591      6591      7591  1                                           81  
XCB3591591      7591      8591  1                                           78  
XCB4591591      8591      9591  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1592592       592      6592  1                                           CA  
XCB2592592      6592      7592  1                                           81  
XCB3592592      7592      8592  1                                           78  
XCB4592592      8592      9592  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1599599       599      6599  1                                           CA  
XCB2599599      6599      7599  1                                           81  
XCB3599599      7599      8599  1                                           78  
XCB4599599      8599      9599  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1600600       600      6600  1                                           CA  
XCB2600600      6600      7600  1                                           81  
XCB3600600      7600      8600  1                                           78  
XCB4600600      8600      9600  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1603603       603      6603  1                                           CA  
XCB2603603      6603      7603  1                                           81  
XCB3603603      7603      8603  1                                           78  
XCB4603603      8603      9603  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1604604       604      6604  1                                           CA  
XCB2604604      6604      7604  1                                           81  
XCB3604604      7604      8604  1                                           78  
XCB4604604      8604      9604  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1605605       605      6605  1                                           CA  
XCB2605605      6605      7605  1                                           81  
XCB3605605      7605      8605  1                                           78  
XCB4605605      8605      9605  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1607607       607      6607  1                                           CA  
XCB2607607      6607      7607  1                                           81  
XCB3607607      7607      8607  1                                           78  
